Model,Embedding,Context,Feature Name,Feature Explanation,AUC (95% CI),Balanced Accuracy (95% CI),F1 (95% CI),Sensitivity (95% CI),Specificity (95% CI)
BioBERT,Yes,Yes,Yes,Yes,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
BioBERT,Yes,Yes,Yes,No,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
BioBERT,Yes,Yes,No,Yes,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
BioBERT,Yes,Yes,No,No,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
BioBERT,Yes,No,Yes,Yes,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
BioBERT,Yes,No,Yes,No,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
BioBERT,Yes,No,No,Yes,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
BioBERT,Yes,No,No,No,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
BERT,Yes,Yes,Yes,Yes,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
BERT,Yes,Yes,Yes,No,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
BERT,Yes,Yes,No,Yes,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
BERT,Yes,Yes,No,No,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
BERT,Yes,No,Yes,Yes,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
BERT,Yes,No,Yes,No,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
BERT,Yes,No,No,Yes,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
BERT,Yes,No,No,No,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
ClinicalBERT,Yes,Yes,Yes,Yes,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
ClinicalBERT,Yes,Yes,Yes,No,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
ClinicalBERT,Yes,Yes,No,Yes,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
ClinicalBERT,Yes,Yes,No,No,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
ClinicalBERT,Yes,No,Yes,Yes,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
ClinicalBERT,Yes,No,Yes,No,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
ClinicalBERT,Yes,No,No,Yes,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
ClinicalBERT,Yes,No,No,No,0.640 (0.631-0.651),0.609 (0.601-0.618),0.514 (0.503-0.526),0.446 (0.436-0.455),0.771 (0.766-0.781)
BioBERT,Yes,Yes,Yes,Yes,0.500 (0.500-0.500),0.500 (0.500-0.500),0.000 (0.000-0.000),0.000 (0.000-0.000),1.000 (1.000-1.000)
BioBERT,Yes,Yes,Yes,Yes,0.629 (0.619-0.640),0.599 (0.590-0.608),0.476 (0.463-0.488),0.388 (0.376-0.396),0.809 (0.805-0.820)
BioBERT,Yes,Yes,Yes,Yes,0.629 (0.619-0.640),0.599 (0.590-0.608),0.476 (0.463-0.488),0.388 (0.376-0.396),0.809 (0.805-0.820)
BioBERT,Yes,Yes,Yes,Yes,0.583 (0.574-0.592),0.583 (0.574-0.592),0.580 (0.573-0.590),0.670 (0.663-0.683),0.496 (0.484-0.508)
BioBERT,Yes,Yes,Yes,Yes,0.583 (0.574-0.592),0.583 (0.574-0.592),0.580 (0.573-0.590),0.670 (0.663-0.683),0.496 (0.484-0.508)
BioBERT,Yes,Yes,Yes,Yes,0.583 (0.574-0.592),0.583 (0.574-0.592),0.580 (0.573-0.590),0.670 (0.663-0.683),0.496 (0.484-0.508)
BioBERT,Yes,Yes,Yes,Yes,0.583 (0.574-0.592),0.583 (0.574-0.592),0.580 (0.573-0.590),0.670 (0.663-0.683),0.496 (0.484-0.508)
BioBERT,Yes,Yes,Yes,Yes,0.583 (0.574-0.592),0.583 (0.574-0.592),0.580 (0.573-0.590),0.670 (0.663-0.683),0.496 (0.484-0.508)
BioBERT,Yes,Yes,Yes,Yes,0.583 (0.574-0.592),0.583 (0.574-0.592),0.580 (0.573-0.590),0.670 (0.663-0.683),0.496 (0.484-0.508)
BioBERT,Yes,Yes,Yes,Yes,0.640 (0.630-0.650),0.608 (0.600-0.618),0.494 (0.482-0.506),0.408 (0.396-0.416),0.809 (0.805-0.820)
BioBERT,Yes,Yes,Yes,Yes,0.640 (0.630-0.650),0.591 (0.583-0.600),0.539 (0.530-0.550),0.534 (0.525-0.545),0.648 (0.641-0.664)
BioBERT,Yes,Yes,Yes,Yes,0.640 (0.630-0.650),0.582 (0.572-0.590),0.596 (0.589-0.605),0.728 (0.723-0.743),0.435 (0.422-0.445)
BioBERT,Yes,Yes,Yes,Yes,0.640 (0.630-0.650),0.602 (0.595-0.610),0.607 (0.511-0.640),0.744 (0.455-0.861),0.460 (0.344-0.750)
BioBERT,Yes,Yes,Yes,Yes,0.640 (0.630-0.650),0.601 (0.592-0.610),0.627 (0.621-0.636),0.806 (0.802-0.822),0.397 (0.383-0.406)
BioBERT,Yes,Yes,Yes,Yes,0.640 (0.630-0.650),0.599 (0.590-0.608),0.621 (0.615-0.630),0.786 (0.782-0.802),0.412 (0.398-0.422)
BioBERT,Yes,Yes,Yes,Yes_mean,0.640 (0.630-0.650),0.602 (0.594-0.612),0.514 (0.503-0.525),0.456 (0.446-0.465),0.748 (0.742-0.758)
BioBERT,Yes,Yes,Yes,Yes_mean,0.500 (0.500-0.500),0.500 (0.500-0.500),0.612 (0.612-0.612),1.000 (1.000-1.000),0.000 (0.000-0.000)
BioBERT,Yes,Yes,Yes,Yes_mean,0.638 (0.628-0.649),0.599 (0.591-0.609),0.516 (0.505-0.527),0.466 (0.455-0.475),0.733 (0.727-0.742)
BioBERT,Yes,Yes,Yes,Yes_word,0.638 (0.628-0.649),0.599 (0.591-0.609),0.516 (0.505-0.527),0.466 (0.455-0.475),0.733 (0.727-0.742)
